udid,lat,lon
0195b725292d06e75abeef8ec1b8de1f,39.979712,116.363417
0195b725292d06e75abeef8ec1b8de1f,39.977567,116.363456
0195b725292d06e75abeef8ec1b8de1f,39.977643,116.363441
0195b725292d06e75abeef8ec1b8de1f,39.979596,116.363444
0195b725292d06e75abeef8ec1b8de1f,39.984714,116.358458
0195b725292d06e75abeef8ec1b8de1f,39.984714,116.358458
0195b725292d06e75abeef8ec1b8de1f,39.985041,116.358357
0195b725292d06e75abeef8ec1b8de1f,39.984997,116.358382
0195b725292d06e75abeef8ec1b8de1f,39.985011,116.358369
0195b725292d06e75abeef8ec1b8de1f,39.98476,116.358439
0195b725292d06e75abeef8ec1b8de1f,39.984851,116.35841
0195b725292d06e75abeef8ec1b8de1f,39.985011,116.358369
0195b725292d06e75abeef8ec1b8de1f,39.984714,116.358458
0195b725292d06e75abeef8ec1b8de1f,39.984926,116.358449
0195b725292d06e75abeef8ec1b8de1f,39.984714,116.358458
0195b725292d06e75abeef8ec1b8de1f,39.977575,116.363471
0195b725292d06e75abeef8ec1b8de1f,39.979552,116.36346
0195b725292d06e75abeef8ec1b8de1f,39.984714,116.358458
0195b725292d06e75abeef8ec1b8de1f,39.984723,116.358478
0195b725292d06e75abeef8ec1b8de1f,39.984921,116.358398
0195b725292d06e75abeef8ec1b8de1f,39.984714,116.358458
0195b725292d06e75abeef8ec1b8de1f,39.984714,116.358458
0195b725292d06e75abeef8ec1b8de1f,39.98476,116.358439
0195b725292d06e75abeef8ec1b8de1f,39.984714,116.358458
0195b725292d06e75abeef8ec1b8de1f,39.984808,116.358367
0195b725292d06e75abeef8ec1b8de1f,39.984714,116.358458
0195b725292d06e75abeef8ec1b8de1f,39.984613,116.358482
0195b725292d06e75abeef8ec1b8de1f,39.984851,116.358432
0195b725292d06e75abeef8ec1b8de1f,39.979593,116.363456
01c513fc690050f5fdb407f330e5b261,40.073653,116.26006
01c513fc690050f5fdb407f330e5b261,40.07367,116.259954
01c513fc690050f5fdb407f330e5b261,40.07367,116.259954
01c513fc690050f5fdb407f330e5b261,40.07367,116.259954
01c513fc690050f5fdb407f330e5b261,40.07372,116.25999
01c513fc690050f5fdb407f330e5b261,40.073653,116.26006
01c513fc690050f5fdb407f330e5b261,40.073653,116.26006
01c513fc690050f5fdb407f330e5b261,40.073761,116.260002
01c513fc690050f5fdb407f330e5b261,40.07367,116.259954
01c513fc690050f5fdb407f330e5b261,40.073653,116.26006
01c513fc690050f5fdb407f330e5b261,40.073653,116.26006
01c513fc690050f5fdb407f330e5b261,40.073653,116.26006
01c513fc690050f5fdb407f330e5b261,40.07367,116.259954
01c513fc690050f5fdb407f330e5b261,40.073653,116.26006
01c513fc690050f5fdb407f330e5b261,40.073653,116.26006
01c513fc690050f5fdb407f330e5b261,40.07367,116.259954
01c513fc690050f5fdb407f330e5b261,40.073653,116.26006
01c513fc690050f5fdb407f330e5b261,40.07367,116.259954
01c513fc690050f5fdb407f330e5b261,40.07367,116.259954
01c513fc690050f5fdb407f330e5b261,40.073527,116.25986
01c513fc690050f5fdb407f330e5b261,40.073653,116.26006
01c513fc690050f5fdb407f330e5b261,40.07367,116.259954
01c513fc690050f5fdb407f330e5b261,40.073653,116.26006
01c513fc690050f5fdb407f330e5b261,40.07367,116.259954
01c513fc690050f5fdb407f330e5b261,40.073653,116.26006
01c513fc690050f5fdb407f330e5b261,40.073653,116.260069
01c513fc690050f5fdb407f330e5b261,40.073653,116.26006
01c513fc690050f5fdb407f330e5b261,40.073653,116.26006
01c513fc690050f5fdb407f330e5b261,40.07367,116.260045
01c513fc690050f5fdb407f330e5b261,40.073653,116.26006
01c513fc690050f5fdb407f330e5b261,40.073653,116.260069
01c513fc690050f5fdb407f330e5b261,40.073653,116.26006
0221b9681243def90ef0da48db1aea6e,39.917381,116.278813
0221b9681243def90ef0da48db1aea6e,39.917381,116.278813
0221b9681243def90ef0da48db1aea6e,39.917381,116.278813
022d62895d61c3cc263a917f4134a2df,39.974587,116.327777
0233b4e39c44f2db85f68cc5baca13fd,39.931033,116.332989
0248da25750a5348bdee752e89bab2bc,39.718735,116.427035
0248da25750a5348bdee752e89bab2bc,39.718735,116.427035
0248da25750a5348bdee752e89bab2bc,39.718735,116.427035
02915812365f18a07f3117b757cf8433,40.067095,116.322264
02915812365f18a07f3117b757cf8433,40.067273,116.322317
02915812365f18a07f3117b757cf8433,40.067095,116.322264
02915812365f18a07f3117b757cf8433,40.067691,116.322471
02915812365f18a07f3117b757cf8433,40.067095,116.322264
02915812365f18a07f3117b757cf8433,40.067691,116.322471
029ada3011421462b5829680a13d7e6e,40.145738,116.593495
03a1f696f21e52fcf735b382f2bfe39b,40.117046,116.44447
04398fc6c233dbd08a50b71a80933836,39.930563,116.390022
04398fc6c233dbd08a50b71a80933836,39.930213,116.390053
04398fc6c233dbd08a50b71a80933836,39.927525,116.389925
04398fc6c233dbd08a50b71a80933836,39.930506,116.390052
04398fc6c233dbd08a50b71a80933836,39.937781,116.387204
04398fc6c233dbd08a50b71a80933836,39.930729,116.389962
0469227b5196b8ac34e444b2caf5b797,40.067966,116.569527
0469227b5196b8ac34e444b2caf5b797,40.067965,116.569553
0469227b5196b8ac34e444b2caf5b797,40.067966,116.569527
0469227b5196b8ac34e444b2caf5b797,40.067969,116.569557
0469227b5196b8ac34e444b2caf5b797,40.067966,116.569527
0469227b5196b8ac34e444b2caf5b797,40.067966,116.569527
0469227b5196b8ac34e444b2caf5b797,40.067951,116.569558
0469227b5196b8ac34e444b2caf5b797,40.067969,116.569557
0469227b5196b8ac34e444b2caf5b797,40.067951,116.569558
0469227b5196b8ac34e444b2caf5b797,40.067966,116.569527
0469227b5196b8ac34e444b2caf5b797,40.067966,116.569527
0469227b5196b8ac34e444b2caf5b797,40.067966,116.569527
0469227b5196b8ac34e444b2caf5b797,40.067969,116.569557
0469227b5196b8ac34e444b2caf5b797,40.067969,116.569557
0469227b5196b8ac34e444b2caf5b797,40.067966,116.569527
0469227b5196b8ac34e444b2caf5b797,40.067966,116.569527
0469227b5196b8ac34e444b2caf5b797,40.067969,116.569557
0469227b5196b8ac34e444b2caf5b797,40.067966,116.569527
0469227b5196b8ac34e444b2caf5b797,40.067969,116.569557
0469227b5196b8ac34e444b2caf5b797,40.067966,116.569527
0469227b5196b8ac34e444b2caf5b797,40.067969,116.569557
0469227b5196b8ac34e444b2caf5b797,40.067969,116.569557
060d4d65a8a1cea5b9def50e3ca17e6e,39.794391,116.186721
0612bd6709f5c4815908887fe850ff99,39.771598,116.366923
0617641e42a16c2fb1e493414b4407a7,39.915265,116.445173
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
0617641e42a16c2fb1e493414b4407a7,39.915265,116.445173
0617641e42a16c2fb1e493414b4407a7,39.915265,116.445173
0617641e42a16c2fb1e493414b4407a7,39.915265,116.445173
0617641e42a16c2fb1e493414b4407a7,39.915265,116.445173
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
0617641e42a16c2fb1e493414b4407a7,39.91533,116.445193
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
0617641e42a16c2fb1e493414b4407a7,39.917989,116.444235
0617641e42a16c2fb1e493414b4407a7,39.915265,116.445173
0617641e42a16c2fb1e493414b4407a7,39.915265,116.445173
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
0617641e42a16c2fb1e493414b4407a7,39.915265,116.445173
0617641e42a16c2fb1e493414b4407a7,39.915265,116.445173
0617641e42a16c2fb1e493414b4407a7,39.915265,116.445173
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
0617641e42a16c2fb1e493414b4407a7,39.91533,116.445193
0617641e42a16c2fb1e493414b4407a7,39.91533,116.445193
0617641e42a16c2fb1e493414b4407a7,39.91533,116.445193
0617641e42a16c2fb1e493414b4407a7,39.915265,116.445173
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
0617641e42a16c2fb1e493414b4407a7,39.91533,116.445193
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
0617641e42a16c2fb1e493414b4407a7,39.91533,116.445193
0617641e42a16c2fb1e493414b4407a7,39.91533,116.445193
0617641e42a16c2fb1e493414b4407a7,39.91533,116.445193
0617641e42a16c2fb1e493414b4407a7,39.915281,116.445186
0617641e42a16c2fb1e493414b4407a7,39.915265,116.445173
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
0617641e42a16c2fb1e493414b4407a7,39.917932,116.444278
0617641e42a16c2fb1e493414b4407a7,39.915281,116.445186
0617641e42a16c2fb1e493414b4407a7,39.917865,116.444377
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
0617641e42a16c2fb1e493414b4407a7,39.906924,116.445134
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
0617641e42a16c2fb1e493414b4407a7,39.915308,116.4452
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
0617641e42a16c2fb1e493414b4407a7,39.91533,116.445193
0617641e42a16c2fb1e493414b4407a7,39.920447,116.444308
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
0617641e42a16c2fb1e493414b4407a7,39.915265,116.445173
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
0617641e42a16c2fb1e493414b4407a7,39.915265,116.445173
0617641e42a16c2fb1e493414b4407a7,39.915265,116.445173
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
0617641e42a16c2fb1e493414b4407a7,39.915265,116.445173
0617641e42a16c2fb1e493414b4407a7,39.915304,116.445207
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
0617641e42a16c2fb1e493414b4407a7,39.917908,116.444321
0617641e42a16c2fb1e493414b4407a7,39.91533,116.445193
0617641e42a16c2fb1e493414b4407a7,39.91533,116.445193
0617641e42a16c2fb1e493414b4407a7,39.915265,116.445173
0617641e42a16c2fb1e493414b4407a7,39.915265,116.445173
0617641e42a16c2fb1e493414b4407a7,39.915265,116.445173
0617641e42a16c2fb1e493414b4407a7,39.915265,116.445173
0617641e42a16c2fb1e493414b4407a7,39.915259,116.445231
